,class,score
0,blouse,0.54196894
1,shirt,0.49128237
2,t-shirt,0.46582374
3,jacket,0.411306
4,sweater,0.19997954
5,cardigan,0.087252386
6,vest,0.064918414
7,blouse,0.5578319
8,shirt,0.47691444
9,jumper,0.29980314
10,jacket,0.13214219
11,t-shirt,0.11286717
12,coat,0.082037486
13,blouse,0.70181656
14,cardigan,0.61349535
15,jacket,0.22065803
16,shirt,0.14772497
17,t-shirt,0.8735256
18,cardigan,0.20455675
19,sweater,0.18626252
20,blouse,0.061132472
21,cardigan,0.8985255
22,sweater,0.3581148
23,vest,0.089702286
24,t-shirt,0.06637045
25,jumper,0.051105604
26,cardigan,0.74309283
27,t-shirt,0.34713408
28,sweater,0.33811206
29,shirt,0.25595355
30,jumper,0.14219664
31,blouse,0.0964503
32,coat,0.844481
33,cardigan,0.38313043
34,onepiece(dress),0.23658486
35,jacket,0.12829141
36,vest,0.055876188
37,coat,0.9193356
38,jacket,0.17568265
39,cardigan,0.06610999
40,onepiece(dress),0.60245794
41,coat,0.5477158
42,blouse,0.12609184
43,shirt,0.10304538
44,jumper,0.08555557
45,jacket,0.0805964
46,t-shirt,0.06394754
47,jacket,0.68408245
48,vest,0.5518498
49,cardigan,0.4579834
50,coat,0.37924987
51,shirt,0.18413988
52,onepiece(dress),0.09840545
53,t-shirt,0.077653065
54,jumper,0.075432666
55,jacket,0.9723246
56,coat,0.066014215
57,jacket,0.95580107
58,coat,0.10707134
59,t-shirt,0.7881703
60,jumper,0.4390899
61,sweater,0.09923988
62,jumper,0.65396345
63,t-shirt,0.42120832
64,vest,0.39368778
65,coat,0.23543134
66,onepiece(dress),0.15624921
67,vest,0.13821845
68,jacket,0.11450619
69,cardigan,0.077285945
70,cardigan,0.06901486
71,t-shirt,0.7327265
72,jumper,0.47762972
73,coat,0.09339153
74,onepiece(dress),0.06460942
75,onepiece(dress),0.69421935
76,coat,0.65700203
77,cardigan,0.11612617
78,jumper,0.050290305
79,t-shirt,0.9412049
80,sweater,0.079566814
81,onepiece(dress),0.062305316
82,t-shirt,0.9922255
83,onepiece(dress),0.08177198
